Object,A,B,C,Shape,Roll,Pitch,Yaw,
end of hose,15,3.5,3.5,1,0.5,0,1,pPdAb23
small ball,5.2,5.2,5.2,0.5,0.5,0,1,pPdAb23
spray bottle,15,6,3.5,-1,0.5,0,1,pPdAb23
jar,8.75,5.5,5.5,-0.5,0.5,0,1,pPdAb23
flashlight,18,3.9,3.9,1,0.5,0,1,pPdAb23
aerosol can cap,5.1,5.1,5.1,0.5,0.5,0,1,pPdAb23
plexiglas rectangle,10.5,4.5,2,-1,0.5,0,1,pPdAb23
medium part,8,8,3.5,-0.5,0.5,0,1,pPdAb23
,,,,,,,,
,,,,,,,,
end of hose,12.5,2.5,2.5,1,,,,
aerosol can cap,6,6,6,0.5,,,,
spray bottle,15,6,3.5,-1,,,,
jar,12.5,11,11,-0.5,,,,
flashlight,18,3,3,1,,,,
small ball,3.25,3.25,3.25,0.5,,,,
plexiglas rectangle,15,4.5,1,-1,,,,
medium part,8,8,3.5,-0.5,,,,
,,,,,,,,
,,,,,,,,
spray bottle,15,6,3.5,-1,,,,
drawer,15,8,1.5,-1,,,,
sponge,10,6,2.5,-1,,,,
combination lock,5.5,3.5,1.5,-1,,,,
ruler,15,2.25,0.25,-1,,,,
cards,8,5,0.15,-1,,,,
plug,10,1.5,1,-1,,,,
safety pin,4,1,0.15,-1,,,,
tongs,12.5,2,0.75,-1,,,,
cell phone,10,5.5,1,-1,,,,
phone,9.5,5.25,1.75,-1,,,,
guitar pick,3,2,0.2,-1,,,,
wrench,15,2,0.75,-1,,,,
calipers,15,2.5,0.7,-1,,,,
goggles,14,2,0.5,-1,,,,
telephone,12,4.25,2.75,-1,,,,
thin parallel,15,3.5,0.4,-1,,,,
tool box compartment,13.5,9,2,-1,,,,
compass,10,1.5,1,-1,,,,
protractor,9,5.5,0.2,-1,,,,
plexiglas rectangle,15,4.5,1,-1,,,,
rug,15,15,1,-0.5,,,,
door,15,15,4.5,-0.5,,,,
paper,15,15,0.2,-0.5,,,,
small toy,7,7,3.5,-0.5,,,,
contact case,2,2,1,-0.5,,,,
alarm clock,15,15,5,-0.5,,,,
cabinet,15,15,1.75,-0.5,,,,
jar,12.5,11,1,-0.5,,,,
bottle cap,3.5,3.5,1.25,-0.5,,,,
symbol,4,4,1,-0.5,,,,
dish,11,11,1,-0.5,,,,
calculator,15,12,1,-0.5,,,,
sandpaper,8,5.5,0.15,-0.5,,,,
medium part,8,8,3.5,-0.5,,,,
roll of tape,6,6,1.5,-0.5,,,,
plastic shield,15,15,0.75,-0.5,,,,
round handle,10,10,2,-0.5,,,,
tape measure,5,5,2,-0.5,,,,
washer,1.5,1.5,0.15,-0.5,,,,
machine shield,15,15,0.75,-0.5,,,,
ball,6.5,6.5,6.5,0.5,,,,
aerosol can cap,6,6,5,0.5,,,,
small ball,3.25,3.25,3.25,0.5,,,,
knob on rod-like handle,3,3,3,0.5,,,,
medium knob,3.5,3.5,3.5,0.5,,,,
medium drum-like part,13.5,13.5,9.5,0.5,,,,
knob,3,3,3,0.5,,,,
vacuum wires,7.5,0.5,0.5,1,,,,
mop,15,3.5,3.5,1,,,,
pen,14.5,0.9,0.9,1,,,,
glass container,13.5,7.5,7.5,1,,,,
small bottle,11,3,3,1,,,,
toothbrush,15,1,1,1,,,,
hanger,15,0.2,0.2,1,,,,
power cord,15,0.9,0.9,1,,,,
pencil,15,0.9,0.9,1,,,,
plastic cup,12.5,7,7,1,,,,
cup,15,7,7,1,,,,
end of hose,12.5,2.5,2.5,1,,,,
air freshener,10,4.5,4,1,,,,
salt shaker,15,4.5,4.5,1,,,,
small knob,4.5,2.5,2.5,1,,,,
plastic tube,15,1,1,1,,,,
vacuum cleaner,15,4.5,4.5,1,,,,
hose,15,2.25,2.25,1,,,,
flashlight,15,2,2,1,,,,
eating utensil,15,1,0.75,1,,,,
electrical plug,5,2,1.5,1,,,,
battery,6,1,1,1,,,,
rod-like handle on machine,15,1.25,1.25,1,,,,
rod,15,1.25,1.25,1,,,,
tool with t-shaped handle,9,1,1,1,,,,
small plastic squeeze bottle,12.5,4,4,1,,,,
can nozzle,7.5,0.75,0.75,1,,,,
tube,15,1,1,1,,,,
drill bit,6.5,0.75,0.75,1,,,,
handle,12.5,2.25,2.25,1,,,,
micrometer,11.5,1.75,1.75,1,,,,
rod-like handle,15,1.25,1.25,1,,,,
writing utensil,14.5,1,1,1,,,,
screwdriver,15,3.5,3.5,1,,,,
thin rod,11.5,0.65,0.65,1,,,,
binder clip,2.5,1.5,1.5,1,,,,
end mill,11.5,0.75,0.75,1,,,,
large knob,4,2.5,2.5,1,,,,
drill,12.5,5.5,5.5,1,,,,
small brush,6.5,0.75,0.75,1,,,,
brush,10,0.35,0.35,1,,,,
metal shavings,15,0.5,0.5,1,,,,
tweezer,15,0.65,0.65,1,,,,
screw,1.5,0.75,0.75,1,,,,
hex wrench,10,0.65,0.65,1,,,,
end mill holder,13.5,5,5,1,,,,
tap with t-shaped handle,15,2,2,1,,,,
paint brush,15,1,1,1,,,,
allen wrench,10,0.75,0.75,1,,,,
